LOCALE,KEY,ENGLISH,VALUE,CONTEXT,FIXUTURE,VALUE-UNDERSCORE,VALUE-TRANSLATABLE
en,admin.locationlevel.section.details,Details,Details,,"'admin.locationlevel.section.details':'Details',",Details,Details
en,admin.locationlevel.store,Store,Store,,"'admin.locationlevel.store':'Store',",Store,Store
en,admin.notification.one,Notification Profile,Notification Profile,,"'admin.notification.one':'Notification Profile',",Notification Profile,Notification Profile
en,admin.notification.other,Notification Profiles,Notification Profiles,,"'admin.notification.other':'Notification Profiles',",Notification Profiles,Notification Profiles
en,admin.person.label.add_profile_picture,Add Photo,Add Photo,,"'admin.person.label.add_profile_picture':'Add Photo',",Add Photo,Add Photo
en,admin.person.label.address,Address,Address,,"'admin.person.label.address':'Address',",Address,Address
en,admin.person.label.auth_amount,Auth. Amount,Auth. Amount,,"'admin.person.label.auth_amount':'Auth. Amount',",Auth. Amount,Auth. Amount
en,admin.person.label.change_password,Change,Change,,"'admin.person.label.change_password':'Change',",Change,Change
en,admin.person.label.change_profile_picture,Change,Change,,"'admin.person.label.change_profile_picture':'Change',",Change,Change
en,admin.person.label.contact,Contact,Contact,,"'admin.person.label.contact':'Contact',",Contact,Contact
en,admin.person.label.credentials,Credentials,Credentials,,"'admin.person.label.credentials':'Credentials',",Credentials,Credentials
en,admin.person.label.email,Email,Email,,"'admin.person.label.email':'Email',",Email,Email
en,admin.person.label.employee_id,Employee No.,Employee No.,,"'admin.person.label.employee_id':'Employee No.',",Employee No.,Employee No.
en,admin.person.label.first_name,First Name,First Name,,"'admin.person.label.first_name':'First Name',",First Name,First Name
en,admin.person.label.fullname,Name,Name,,"'admin.person.label.fullname':'Name',",Name,Name
en,admin.person.label.general,General,General,,"'admin.person.label.general':'General',",General,General
en,admin.person.label.language,Language,Language,,"'admin.person.label.language':'Language',",Language,Language
en,admin.person.label.last_name,Last Name,Last Name,,"'admin.person.label.last_name':'Last Name',",Last Name,Last Name
en,admin.person.label.location,Location(s),Location(s),,"'admin.person.label.location':'Location(s)',",Location(s),Location(s)
en,admin.person.label.middle_initial,M,M,,"'admin.person.label.middle_initial':'M',",M,M
en,admin.person.label.password,Password,Password,,"'admin.person.label.password':'Password',",Password,Password
en,admin.person.label.phone_number_region,Phone Number Region,Phone Number Region,,"'admin.person.label.phone_number_region':'Phone Number Region',",Phone Number Region,Phone Number Region
en,admin.person.label.phone_number.one,Phone Number,Phone Number,,"'admin.person.label.phone_number.one':'Phone Number',",Phone Number,Phone Number
en,admin.person.label.phone_number.other,Phone Numbers,Phone Numbers,,"'admin.person.label.phone_number.other':'Phone Numbers',",Phone Numbers,Phone Numbers
en,admin.person.label.photo,Photo,Photo,,"'admin.person.label.photo':'Photo',",Photo,Photo
en,admin.person.label.role-name,Role,Role,,"'admin.person.label.role-name':'Role',",Role,Role
en,admin.person.label.settings,Settings,Settings,,"'admin.person.label.settings':'Settings',",Settings,Settings
en,admin.person.label.status,Status,Status,,"'admin.person.label.status':'Status',",Status,Status
en,admin.person.label.title,Title,Title,,"'admin.person.label.title':'Title',",Title,Title
en,admin.person.label.username,Username,Username,,"'admin.person.label.username':'Username',",Username,Username
en,admin.person.new,New Person,New Person,,"'admin.person.new':'New Person',",New Person,New Person
en,admin.person.one,Person,Person,,"'admin.person.one':'Person',",Person,Person
en,admin.person.other,People,People,,"'admin.person.other':'People',",People,People
en,admin.person.search,Search People,Search People,,"'admin.person.search':'Search People',",Search People,Search People
en,admin.person.section.contact,Contact,Contact,,"'admin.person.section.contact':'Contact',",Contact,Contact
en,admin.person.section.credentials,Credentials,Credentials,,"'admin.person.section.credentials':'Credentials',",Credentials,Credentials
en,admin.person.section.details,Details,Details,,"'admin.person.section.details':'Details',",Details,Details
en,admin.person.status.active,Active,Active,,"'admin.person.status.active':'Active',",Active,Active
en,admin.person.status.expired,Expired,Expired,,"'admin.person.status.expired':'Expired',",Expired,Expired
en,admin.person.status.inactive,Inactive,Inactive,,"'admin.person.status.inactive':'Inactive',",Inactive,Inactive
en,admin.person.unique_username,Username {{value}} is already taken,Username {{value}} is already taken,,"'admin.person.unique_username':'Username {{value}} is already taken',",Username {{value_var_ is already taken,Username _value_var_ is already taken
en,admin.phone.add,Add Phone Number,Add Phone Number,,"'admin.phone.add':'Add Phone Number',",Add Phone Number,Add Phone Number
en,admin.phone.number,Phone Number,Phone Number,,"'admin.phone.number':'Phone Number',",Phone Number,Phone Number
en,admin.phone.numbers,Phone Numbers,Phone Numbers,,"'admin.phone.numbers':'Phone Numbers',",Phone Numbers,Phone Numbers
en,admin.phonenumbertype.cell,Cell,Cell,,"'admin.phonenumbertype.cell':'Cell',",Cell,Cell
en,admin.phonenumbertype.fax,Fax,Fax,,"'admin.phonenumbertype.fax':'Fax',",Fax,Fax
en,admin.phonenumbertype.mobile,Mobile,Mobile,,"'admin.phonenumbertype.mobile':'Mobile',",Mobile,Mobile
en,admin.phonenumbertype.office,Office,Office,,"'admin.phonenumbertype.office':'Office',",Office,Office
en,admin.phonenumbertype.telephone,Telephone,Telephone,,"'admin.phonenumbertype.telephone':'Telephone',",Telephone,Telephone
en,admin.placeholder.auto_assign,All Tickets,All Tickets,,"'admin.placeholder.auto_assign':'All Tickets',",All Tickets,All Tickets
en,admin.placeholder.available_filter,Add Filter,Add Filter,,"'admin.placeholder.available_filter':'Add Filter',",Work,Work
en,admin.placeholder.available_filter.location,Add Locations...,Add Locations...,,"'admin.placeholder.available_filter.location':'Add Locations...',",Work,Work
en,admin.placeholder.available_filter.priority,Add Priorities...,Add Priorities...,,"'admin.placeholder.available_filter.priority':'Add Priorities...',",Work,Work
en,admin.placeholder.category_filter,Category,Category,,"'admin.placeholder.category_filter':'Category',",Category,Category
en,admin.placeholder.category_filter_select,Select Categories,Select Categories,,"'admin.placeholder.category_filter_select':'Select Categories',",Select Categories,
en,admin.placeholder.country_filter,Country,Country,,"'admin.placeholder.country_filter':'Country',",Country,Country
en,admin.placeholder.country_filter_select,Select Countries,Select Countries,,"'admin.placeholder.country_filter_select':'Select Countries',",Select Countries,
en,admin.placeholder.location_filter_select,Select Locations,Select Locations,,"'admin.placeholder.location_filter_select':'Select Locations',",Select Locations,
en,admin.placeholder.priority_filter_select,Select Priorities,Select Priorities,,"'admin.placeholder.priority_filter_select':'Select Priorities',",Select Priorities,
en,admin.placeholder.state_filter,State,State,,"'admin.placeholder.state_filter':'State',",State,State
en,admin.placeholder.state_filter_select,Select States,Select States,,"'admin.placeholder.state_filter_select':'Select States',",Select States,
en,admin.placeholder.ticket_priority,Priority,Priority,,"'admin.placeholder.ticket_priority':'Priority',",Priority,Priority
en,admin.role.label.category,Categories,Categories,,"'admin.role.label.category':'Categories',",Categories,Categories
en,admin.role.label.general,General,General,,"'admin.role.label.general':'General',",General,General
en,admin.role.label.location_level,Location Level,Location Level,,"'admin.role.label.location_level':'Location Level',",Location Level,Location Level
en,admin.role.label.name,Role Name,Role Name,,"'admin.role.label.name':'Role Name',",Role Name,Role Name
en,admin.role.label.number_users,# of People,# of People,,"'admin.role.label.number_users':'# of People',",# of People,# of People
en,admin.role.label.permissions,Permissions,Permissions,,"'admin.role.label.permissions':'Permissions',",Permissions,Permissions
en,admin.role.label.role_type,Role Type,Role Type,,"'admin.role.label.role_type':'Role Type',",Role Type,Role Type
en,admin.role.label.settings,Settings,Settings,,"'admin.role.label.settings':'Settings',",Settings,Settings
en,admin.role.new,New Role,New Role,,"'admin.role.new':'New Role',",New Role,New Role
en,admin.role.one,Role,Role,,"'admin.role.one':'Role',",Role,Role
en,admin.role.other,Roles,Roles,,"'admin.role.other':'Roles',",Roles,Roles
en,admin.role.search,Search Role,Search Role,,"'admin.role.search':'Search Role',",Search Role,Search Role
en,admin.role.section.details,Role Details,Role Details,,"'admin.role.section.details':'Role Details',",Role Details,Role Details
en,admin.role.section.settings,Role Settings,Role Settings,,"'admin.role.section.settings':'Role Settings',",Role Settings,Role Settings
en,admin.role.type.internal,Internal,Internal,,"'admin.role.type.internal':'Internal',",Internal,Internal
en,admin.role.type.third_party,Third Party,Third Party,,"'admin.role.type.third_party':'Third Party',",Third Party,Third Party
en,admin.setting.company_code,Company Code,Company Code,,"'admin.setting.company_code':'Company Code',",Company Code,Company Code
en,admin.setting.company_name,Company Name,Company Name,,"'admin.setting.company_name':'Company Name',",Company Name,Company Name
en,admin.setting.create_all,Create All,Create All,,"'admin.setting.create_all':'Create All',",Create All,Create All
en,admin.setting.dashboard_text,Dashboard Text,Dashboard Text,,"'admin.setting.dashboard_text':'Dashboard Text',",Dashboard Text,Dashboard Text
en,admin.setting.dt_start_key,Start,Start,,"'admin.setting.dt_start_key':'Start',",Start,Start
en,admin.setting.exchange_rates,Exchange Rates,Exchange Rates,,"'admin.setting.exchange_rates':'Exchange Rates',",Exchange Rates,Exchange Rates
en,admin.setting.login_grace,Login Grace,Login Grace,,"'admin.setting.login_grace':'Login Grace',",Login Grace,Login Grace
en,admin.setting.modules,Modules,Modules,,"'admin.setting.modules':'Modules',",Modules,Modules
en,admin.setting.modules.invoices,Invoices,Invoices,,"'admin.setting.modules.invoices':'Invoices',",Invoices,Invoices
en,admin.setting.modules.tickets,Tickets,Tickets,,"'admin.setting.modules.tickets':'Tickets',",Tickets,Tickets
en,admin.setting.modules.work_orders,Work Orders,Work Orders,,"'admin.setting.modules.work_orders':'Work Orders',",Work Orders,Work Orders
en,admin.setting.name.general,General Settings,General Settings,,"'admin.setting.name.general':'General Settings',",General Settings,General Settings
en,admin.setting.name.person,Person Settings,Person Settings,,"'admin.setting.name.person':'Person Settings',",Person Settings,Person Settings
en,admin.setting.name.role,Role Settings,Role Settings,,"'admin.setting.name.role':'Role Settings',",Role Settings,Role Settings
en,admin.setting.one,Setting,Setting,,"'admin.setting.one':'Setting',",Setting,Setting
en,admin.setting.other,Settings,Settings,,"'admin.setting.other':'Settings',",Settings,Settings
en,admin.setting.password_one_time,One Time Password,One Time Password,,"'admin.setting.password_one_time':'One Time Password',",One Time Password,One Time Password
en,admin.setting.test_contractor_email,Test Contractor Email,Test Contractor Email,,"'admin.setting.test_contractor_email':'Test Contractor Email',",Test Contractor Email,Test Contractor Email
en,admin.setting.test_contractor_phone,Test Contractor Phone,Test Contractor Phone,,"'admin.setting.test_contractor_phone':'Test Contractor Phone',",Test Contractor Phone,Test Contractor Phone
en,admin.setting.test_mode,Test Mode,Test Mode,,"'admin.setting.test_mode':'Test Mode',",Test Mode,Test Mode
en,admin.template.one,Template,Template,,"'admin.template.one':'Template',",Template,Template
en,admin.template.other,Templates,Templates,,"'admin.template.other':'Templates',",Templates,Templates
en,admin.tenant.billing,Billing,Billing,,"'admin.tenant.billing':'Billing',",Billing,Billing
en,admin.tenant.billing,Billing,Billing,,"'admin.tenant.billing':'Billing',",Billing,Billing
en,admin.tenant.billing_address,Billing Address,Billing Address,,"'admin.tenant.billing_address':'Billing Address',",Billing Address,Billing Address
en,admin.tenant.billing_email,Billing Email,Billing Email,,"'admin.tenant.billing_email':'Billing Email',",Billing Email,Billing Email
en,admin.tenant.billing_phonenumber,Billing Phone Number,Billing Phone Number,,"'admin.tenant.billing_phonenumber':'Billing Phone Number',",Billing Phone Number,Billing Phone Number
en,admin.tenant.countries,Countries,Countries,,"'admin.tenant.countries':'Countries',",Countries,Countries
en,admin.tenant.currency,Currency,Currency,,"'admin.tenant.currency':'Currency',",Currency,Currency
en,admin.tenant.implementation,Implementation,Implementation,,"'admin.tenant.implementation':'Implementation',",Implementation,Implementation
en,admin.tenant.implementation,Implementation,Implementation,,"'admin.tenant.implementation':'Implementation',",Implementation,Implementation
en,admin.tenant.implementation_contact,Implementation Contact,Implementation Contact,,"'admin.tenant.implementation_contact':'Implementation Contact',",Implementation Contact,Implementation Contact
en,admin.tenant.implementation_email,Implementation Email,Implementation Email,,"'admin.tenant.implementation_email':'Implementation Email',",Implementation Email,Implementation Email
en,admin.tenant.label.dtd_start,Decision Tree Origin,Decision Tree Origin,,"'admin.tenant.label.dtd_start':'Decision Tree Origin',",Decision Tree Origin,Decision Tree Origin
en,admin.tenant.label.test_mode,Test Mode,Test Mode,,"'admin.tenant.label.test_mode':'Test Mode',",Test Mode,Test Mode
en,admin.third_party.label.name,Name,Name,,"'admin.third_party.label.name':'Name',",Name,Name
en,admin.third_party.label.number,Number,Number,,"'admin.third_party.label.number':'Number',",Number,Number
en,admin.third_party.status.active,Inactive,Inactive,,"'admin.third_party.status.active':'Inactive',",Inactive,Inactive
en,admin.third_party.status.inactive,Active,Active,,"'admin.third_party.status.inactive':'Active',",Active,Active
en,admin.ticket.requester.placeholder,Requester,Requester,,"'admin.ticket.requester.placeholder':'Requester',",Requester,Requester
en,admin.title,Admin,Admin,,"'admin.title':'Admin',",Admin,Admin
en,admin.translation.label.helper,Helper,Helper,,"'admin.translation.label.helper':'Helper',",Helper,Helper
en,admin.translation.label.key,Key,Key,,"'admin.translation.label.key':'Key',",Key,Key
en,admin.translation.label.translation,Translation,Translation,,"'admin.translation.label.translation':'Translation',",Translation,Translation
en,admin.translation.one,Translation,Translation,,"'admin.translation.one':'Translation',",Translation,Translation
en,admin.translation.other,Translations,Translations,,"'admin.translation.other':'Translations',",Translations,Translations
en,admin.translation.search,Search Translations,Search Translations,,"'admin.translation.search':'Search Translations',",Search Translations,
en,admin.work_order.close.checked,Checked,Checked,,"'admin.work_order.close.checked':'Checked',",Work,Work
en,admin.work_order.close.do_not_display,Do not display,Do not display,,"'admin.work_order.close.do_not_display':'Do not display',",Work,Work
en,admin.work_order.close.unchecked,Unchecked,Unchecked,,"'admin.work_order.close.unchecked':'Unchecked',",Work,Work
en,attachment.fail,File failed to upload,File failed to upload,,"'attachment.fail':'File failed to upload',",Work,Work
en,attachment.too_large,File is too large,File is too large,,"'attachment.too_large':'File is too large',",Work,Work
en,automation.actions.body,Body,Body,,"'automation.actions.body':'Body',",Work,Work
en,automation.actions.cc,CC(s),CC(s),,"'automation.actions.cc':'CC(s)',",Work,Work
en,automation.actions.message,Message,Message,,"'automation.actions.message':'Message',",Work,Work
en,automation.actions.recipients,Recipients,Recipients,,"'automation.actions.recipients':'Recipients',",Work,Work
en,automation.actions.request,Request Text,Request Text,,"'automation.actions.request':'Request Text',",Work,Work
en,automation.actions.email,Email,Email,,"'automation.actions.email':'Email',",Work,Work
en,automation.actions.send_email,Send Email,Send Email,,"'automation.actions.send_email':'Send Email',",Work,Work
en,automation.actions.sms,Text Message,Text Message,,"'automation.actions.sms':'Text Message',",Work,Work
en,automation.actions.send_sms,Send Text Message,Send Text Message,,"'automation.actions.send_sms':'Send Text Message',",Work,Work
en,automation.actions.status,Status,Status,,"'automation.actions.status':'Status',",Work,Work
en,automation.actions.status,Status,Status,,"'automation.actions.status':'Status',",Work,Work
en,automation.actions.subject,Subject,Subject,,"'automation.actions.subject':'Subject',",Work,Work
en,automation.actions.ticket_assignee,Ticket: Assignee,Ticket: Assignee,,"'automation.actions.ticket_assignee':'Ticket: Assignee',",Work,Work
en,automation.actions.ticket_cc,Ticket: CC,Ticket: CC,,"'automation.actions.ticket_cc':'Ticket: CC',",Work,Work
en,automation.actions.ticket_priority,Ticket: Priority,Ticket: Priority,,"'automation.actions.ticket_priority':'Ticket: Priority',",Work,Work
en,automation.actions.ticket_request,Ticket: Request,Ticket: Request,,"'automation.actions.ticket_request':'Ticket: Request',",Work,Work
en,automation.actions.ticket_status,Ticket: Status,Ticket: Status,,"'automation.actions.ticket_status':'Ticket: Status',",Work,Work
en,automation.event.ticket_assignee_change,Ticket Assignee Change,Ticket Assignee Change,,"'automation.event.ticket_assignee_change':'Ticket Assignee Change',",Work,Work
en,automation.event.ticket_attachment_add,Ticket Attachment,Ticket Attachment,,"'automation.event.ticket_attachment_add':'Ticket Attachment',",Work,Work
en,automation.event.ticket_category_change,Ticket Category Change,Ticket Category Change,,"'automation.event.ticket_category_change':'Ticket Category Change',",Work,Work
en,automation.event.ticket_cc_add,Ticket CC Change,Ticket CC Change,,"'automation.event.ticket_cc_add':'Ticket CC Change',",Work,Work
en,automation.event.ticket_comment,Ticket Comment,Ticket Comment,,"'automation.event.ticket_comment':'Ticket Comment',",Work,Work
en,automation.event.ticket_location_change,Ticket Location Change,Ticket Location Change,,"'automation.event.ticket_location_change':'Ticket Location Change',",Work,Work
en,automation.event.ticket_priority_change,Ticket Priority Change,Ticket Priority Change,,"'automation.event.ticket_priority_change':'Ticket Priority Change',",Work,Work
en,automation.event.ticket_status_cancelled,Ticket: Status Cancelled,Ticket: Status Cancelled,,"'automation.event.ticket_status_cancelled':'Ticket: Status Cancelled',",Work,Work
en,automation.event.ticket_status_complete,Ticket: Status Complete,Ticket: Status Complete,,"'automation.event.ticket_status_complete':'Ticket: Status Complete',",Work,Work
en,automation.event.ticket_status_deferred,Ticket: Status Deferred,Ticket: Status Deferred,,"'automation.event.ticket_status_deferred':'Ticket: Status Deferred',",Work,Work
en,automation.event.ticket_status_denied,Ticket: Status Denied,Ticket: Status Denied,,"'automation.event.ticket_status_denied':'Ticket: Status Denied',",Work,Work
en,automation.event.ticket_status_draft,Ticket: Status Draft,Ticket: Status Draft,,"'automation.event.ticket_status_draft':'Ticket: Status Draft',",Work,Work
en,automation.event.ticket_status_in_progress,Ticket: Status In Progress,Ticket: Status In Progress,,"'automation.event.ticket_status_in_progress':'Ticket: Status In Progress',",Work,Work
en,automation.event.ticket_status_new,Ticket: Status New,Ticket: Status New,,"'automation.event.ticket_status_new':'Ticket: Status New',",Work,Work
en,automation.event.ticket_status_pending,Ticket: Status Pending,Ticket: Status Pending,,"'automation.event.ticket_status_pending':'Ticket: Status Pending',",Work,Work
en,automation.event.ticket_status_solved,Ticket: Status Solved,Ticket: Status Solved,,"'automation.event.ticket_status_solved':'Ticket: Status Solved',",Work,Work
en,automation.event.ticket_status_unsatisfactory,Ticket: Status Unsatisfactory,Ticket: Status Unsatisfactory,,"'automation.event.ticket_status_unsatisfactory':'Ticket: Status Unsatisfactory',",Work,Work
en,button.add,New {{model}},New {{model}},,"'button.add':'New {{model}}',",New {{model_var_,New _model_var_
en,button.upload,Attach file,Attach file,,"'button.upload':'Attach file',",Attach file,Attach file
en,crud.cancel.button,Cancel,Cancel,,"'crud.cancel.button':'Cancel',",Cancel,Cancel
en,crud.close_tab,Close Tab,Close Tab,,"'crud.close_tab':'Close Tab',",Close Tab,Close Tab
en,crud.create.button,Create,Create,,"'crud.create.button':'Create',",Create,Create
en,crud.create.error,Error creating {{model}}.,Error creating {{model}}.,,"'crud.create.error':'Error creating {{model}}.',",Error creating {{model_var_.,Error creating _model_var_.
en,crud.create.success,{{model}} created successfully.,{{model}} created successfully.,,"'crud.create.success':'{{model}} created successfully.',",{{model_var_ created successfully.,_model_var_ created successfully.
en,crud.default_value,Default: {{value}},Default: {{value}},,"'crud.default_value':'Default: {{value}}',",Default: {{value_var_,Default: _value_var_
en,crud.delete.button,Delete,Delete,,"'crud.delete.button':'Delete',",Delete,Delete
en,crud.delete.confirm,Are you sure you want to delete this {{module}}?,Are you sure you want to delete this {{module}}?,,"'crud.delete.confirm':'Are you sure you want to delete this {{module}}?',",Are you sure you want to delete this {{module_var_?,Are you sure you want to delete this _module_var_?
en,crud.delete.error,Error deleting {{model}}.,Error deleting {{model}}.,,"'crud.delete.error':'Error deleting {{model}}.',",Error deleting {{model_var_.,Error deleting _model_var_.
en,crud.delete.title,Delete Record,Delete Record,,"'crud.delete.title':'Delete Record',",Delete Record,Delete Record
en,crud.discard_changes,Unsaved Changes,Unsaved Changes,,"'crud.discard_changes':'Unsaved Changes',",Unsaved Changes,Unsaved Changes
en,crud.discard_changes_confirm,All unsaved changes will be lost.  Are you sure you want to continue?,All unsaved changes will be lost.  Are you sure you want to continue?,,"'crud.discard_changes_confirm':'All unsaved changes will be lost. Are you sure you want to continue?',",All unsaved changes will be lost.  Are you sure you want to continue?,All unsaved changes will be lost.  Are you sure you want to continue?
en,crud.duplicate.button,Duplicate,Duplicate,,"'crud.duplicate.button':'Duplicate',",Duplicate,Duplicate
en,crud.inherited_from,Inherited from: {{from}},Inherited from: {{from}},,"'crud.inherited_from':'Inherited from: {{from}}',",Inherited from: {{from_var_,Inherited from: _from_var_
en,crud.no,No,No,,"'crud.no':'No',",No,No
en,crud.print.button,Print,Print,,"'crud.print.button':'Print',",Print,Print
en,crud.restore.button,Restore,Restore,,"'crud.restore.button':'Restore',",Restore,Restore
en,crud.restore.error,Error restoring {{model}},Error restoring {{model}},,"'crud.restore.error':'Error restoring {{model}}',",Error restoring {{model_var_,Error restoring _model_var_
en,crud.restore.success,{{model}} restored successfully.,{{model}} restored successfully.,,"'crud.restore.success':'{{model}} restored successfully.',",{{model_var_ restored successfully.,_model_var_ restored successfully.
en,crud.save_only.button,Save,Save,,"'crud.save_only.button':'Save',",Save,Save
en,crud.save_progress,You currently have unsaved changes.  Would you like to save your progress?,You currently have unsaved changes.  Would you like to save your progress?,,"'crud.save_progress':'You currently have unsaved changes. Would you like to save your progress?',",You currently have unsaved changes.  Would you like to save your progress?,You currently have unsaved changes.  Would you like to save your progress?
en,crud.save.button,Save and Close,Save and Close,,"'crud.save.button':'Save and Close',",Save and Close,Save and Close
en,crud.save.error,Error saving {{model}}.,Error saving {{model}}.,,"'crud.save.error':'Error saving {{model}}.',",Error saving {{model_var_.,Error saving _model_var_.
en,crud.save.success,{{model}} saved successfully.,{{model}} saved successfully.,,"'crud.save.success':'{{model}} saved successfully.',",{{model_var_ saved successfully.,_model_var_ saved successfully.
en,crud.titles.edit,Edit {{model}},Edit {{model}},,"'crud.titles.edit':'Edit {{model}}',",Edit {{model_var_,Edit _model_var_
en,crud.titles.new,New {{model}},New {{model}},,"'crud.titles.new':'New {{model}}',",New {{model_var_,New _model_var_
en,crud.update.button,Update,Update,,"'crud.update.button':'Update',",Update,Update
en,crud.yes,Yes,Yes,,"'crud.yes':'Yes',",Yes,Yes
en,dashboard.welcome,Welcome,Welcome,,"'dashboard.welcome':'Welcome',",Welcome,Welcome
en,doctitle.admin.index,Admin,Admin,,"'doctitle.admin.index':'Admin',",Admin,Admin
en,doctitle.automation.index,{{count}} Automations,{{count}} Automations,,"'doctitle.automation.index':'{{count}} Automations',",{{count_var_ Automations,_count_var_ Automations
en,doctitle.automation.new,New Automation,New Automation,,"'doctitle.automation.new':'New Automation',",New Automation,New Automation
en,doctitle.automation.single,{{description}},{{description}},,"'doctitle.automation.single':'{{description}}',",{{description_var_,_description_var_
en,doctitle.calendar.index,Calendar,Calendar,,"'doctitle.calendar.index':'Calendar',",Calendar,Calendar
en,doctitle.category.index,{{count}} Categories,{{count}} Categories,,"'doctitle.category.index':'{{count}} Categories',",{{count_var_ Categories,_count_var_ Categories
en,doctitle.category.new,New Category,New Category,,"'doctitle.category.new':'New Category',",New Category,New Category
en,doctitle.category.single,{{name}},{{name}},,"'doctitle.category.single':'{{name}}',",{{name_var_,_name_var_
en,doctitle.dashboard.index,Dashboard,Dashboard,,"'doctitle.dashboard.index':'Dashboard',",Dashboard,Dashboard
en,doctitle.location_level.index,{{count}} Locations Levels,{{count}} Locations Levels,,"'doctitle.location_level.index':'{{count}} Locations Levels',",{{count_var_ Locations Levels,_count_var_ Locations Levels
en,doctitle.location_level.new,New Location Level,New Location Level,,"'doctitle.location_level.new':'New Location Level',",New Location Level,New Location Level
en,doctitle.location_level.single,{{name}},{{name}},,"'doctitle.location_level.single':'{{name}}',",{{name_var_,_name_var_
